Regional_District,Target_Type,Date,Actual,Model_Forecast,Naive_Forecast
British Columbia (Total),Total,2025-01-01,3150.7,3362.5,2452.0
British Columbia (Total),Total,2025-02-01,3386.0,3379.7,2420.3
British Columbia (Total),Total,2025-03-01,2585.0,3198.0,2514.7
British Columbia (Total),Total,2025-04-01,2994.3,3164.6,2657.7
British Columbia (Total),Total,2025-05-01,3500.3,3190.6,2389.3
British Columbia (Total),Total,2025-06-01,4001.0,3300.8,2650.3
British Columbia (Total),Total,2025-07-01,3783.3,3419.3,2760.7
British Columbia (Total),Total,2025-08-01,3123.7,3515.9,3172.7
British Columbia (Total),Total,2025-09-01,3355.0,3577.6,3222.7
British Columbia (Total),Total,2025-10-01,3899.7,3608.7,3179.3
British Columbia (Total),Total,2025-11-01,4413.3,3626.8,2894.0
British Columbia (Total),Total,2025-12-01,4288.3,3639.1,3471.7
Capital,Total,2025-01-01,226.3,271.4,336.7
Capital,Total,2025-02-01,226.3,315.8,334.3
Capital,Total,2025-03-01,177.7,349.9,430.7
Capital,Total,2025-04-01,259.0,355.3,339.7
Capital,Total,2025-05-01,256.7,354.5,369.7
Capital,Total,2025-06-01,365.7,345.7,375.0
Capital,Total,2025-07-01,321.7,336.9,340.3
Capital,Total,2025-08-01,294.0,334.0,471.0
Capital,Total,2025-09-01,471.7,326.4,417.0
Capital,Total,2025-10-01,444.0,323.2,444.3
Capital,Total,2025-11-01,500.3,316.6,299.0
Capital,Total,2025-12-01,302.3,318.4,255.7
Central Okanagan,Total,2025-01-01,136.7,154.6,204.0
Central Okanagan,Total,2025-02-01,213.3,185.1,162.0
Central Okanagan,Total,2025-03-01,203.3,213.8,76.0
Central Okanagan,Total,2025-04-01,220.0,233.1,126.0
Central Okanagan,Total,2025-05-01,421.7,237.2,183.0
Central Okanagan,Total,2025-06-01,419.7,235.2,187.7
Central Okanagan,Total,2025-07-01,388.7,235.0,264.3
Central Okanagan,Total,2025-08-01,126.7,229.2,221.3
Central Okanagan,Total,2025-09-01,233.7,227.2,292.0
Central Okanagan,Total,2025-10-01,255.3,218.5,167.3
Central Okanagan,Total,2025-11-01,435.3,219.8,158.0
Central Okanagan,Total,2025-12-01,385.7,220.3,111.3
Fraser Valley,Total,2025-01-01,143.0,170.3,160.7
Fraser Valley,Total,2025-02-01,155.7,180.0,167.0
Fraser Valley,Total,2025-03-01,100.7,180.5,111.7
Fraser Valley,Total,2025-04-01,98.0,184.4,98.3
Fraser Valley,Total,2025-05-01,190.7,188.8,127.0
Fraser Valley,Total,2025-06-01,198.0,192.8,148.0
Fraser Valley,Total,2025-07-01,212.3,194.3,239.3
Fraser Valley,Total,2025-08-01,94.0,188.8,192.7
Fraser Valley,Total,2025-09-01,98.0,188.5,213.7
