Regional_District,Target_Type,Date,Data_Type,Completions_Value,PI_Lower_95,PI_Upper_95,Winning_Model,PI_Lower_80,PI_Upper_80,PI_Lower_50,PI_Upper_50,PI_Method
British Columbia (Total),Total,2020-01-01,Historical,3409.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-02-01,Historical,2940.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-03-01,Historical,2871.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-04-01,Historical,2805.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-05-01,Historical,3086.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-06-01,Historical,2992.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-07-01,Historical,2872.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-08-01,Historical,2755.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-09-01,Historical,2834.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-10-01,Historical,2788.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-11-01,Historical,2679.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2020-12-01,Historical,2845.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-01-01,Historical,2655.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-02-01,Historical,2298.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-03-01,Historical,2166.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-04-01,Historical,2458.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-05-01,Historical,2647.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-06-01,Historical,3232.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-07-01,Historical,3201.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-08-01,Historical,3850.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-09-01,Historical,3565.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-10-01,Historical,3235.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-11-01,Historical,2965.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2021-12-01,Historical,2927.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-01-01,Historical,2851.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-02-01,Historical,2534.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-03-01,Historical,2625.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-04-01,Historical,2882.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-05-01,Historical,3512.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-06-01,Historical,2910.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-07-01,Historical,3134.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-08-01,Historical,2345.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-09-01,Historical,2398.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-10-01,Historical,1861.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-11-01,Historical,2161.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2022-12-01,Historical,2388.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-01-01,Historical,2799.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-02-01,Historical,2639.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-03-01,Historical,2533.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-04-01,Historical,2421.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-05-01,Historical,2232.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-06-01,Historical,2281.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-07-01,Historical,2050.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-08-01,Historical,2989.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-09-01,Historical,2777.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-10-01,Historical,3043.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-11-01,Historical,2544.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2023-12-01,Historical,2615.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-01-01,Historical,2452.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-02-01,Historical,2420.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-03-01,Historical,2514.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-04-01,Historical,2657.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-05-01,Historical,2389.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-06-01,Historical,2650.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-07-01,Historical,2760.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-08-01,Historical,3172.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-09-01,Historical,3222.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-10-01,Historical,3179.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-11-01,Historical,2894.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2024-12-01,Historical,3471.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-01-01,Historical,3150.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-02-01,Historical,3386.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-03-01,Historical,2585.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-04-01,Historical,2994.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-05-01,Historical,3500.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-06-01,Historical,4001.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-07-01,Historical,3783.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-08-01,Historical,3123.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-09-01,Historical,3355.0,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-10-01,Historical,3899.7,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-11-01,Historical,4413.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2025-12-01,Historical,4288.3,,,Pooled Ridge v13,,,,,
British Columbia (Total),Total,2026-01-01,Forecast,4024.9,2312.2,4505.8,Pooled Ridge v13,2873.4,4240.8,3399.8,3977.2,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-02-01,Forecast,3675.7,1963.1,4156.7,Pooled Ridge v13,2524.2,3891.7,3050.6,3628.0,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-03-01,Forecast,3467.8,1755.2,3948.8,Pooled Ridge v13,2316.3,3683.8,2842.8,3420.1,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-04-01,Forecast,3451.3,1488.7,5291.4,Pooled Ridge v13,2499.2,4337.9,2858.6,3840.7,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-05-01,Forecast,3544.0,1581.5,5384.2,Pooled Ridge v13,2592.0,4430.6,2951.3,3933.5,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-06-01,Forecast,3674.5,1712.0,5514.6,Pooled Ridge v13,2722.4,4561.1,3081.8,4063.9,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-07-01,Forecast,3814.9,1614.3,5249.4,Pooled Ridge v13,2095.4,4852.3,3071.2,4119.2,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-08-01,Forecast,3967.5,1766.9,5402.0,Pooled Ridge v13,2248.0,5004.9,3223.8,4271.9,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-09-01,Forecast,4134.5,1933.9,5569.0,Pooled Ridge v13,2415.0,5171.9,3390.8,4438.9,"Conformal (pooled, holdout-calibrated)"
British Columbia (Total),Total,2026-10-01,Forecast,4216.0,2015.3,5650.4,Pooled Ridge v13,2496.5,5253.4,3472.3,4520.3,"Conformal (pooled, holdout-calibrated)"
